Date,Open,High,Low,Close,Volume
2020-09-18 00:00:00-04:00,194.4498110128883,195.26480389569204,188.16950116879477,192.1390380859375,55225300
2020-09-21 00:00:00-04:00,189.0707782458869,194.36349841827462,188.29413203216168,194.2004852294922,39839700
2020-09-22 00:00:00-04:00,196.61673385251396,199.53157125670091,193.75943826186247,198.8795623779297,33517100
2020-09-23 00:00:00-04:00,199.33979123685637,199.53156801783254,191.79384015579785,192.33078002929688,30803800
2020-09-24 00:00:00-04:00,191.62124221661983,197.10572410762356,190.99799699279353,194.82371520996094,31202500
2020-09-25 00:00:00-04:00,195.16888873864514,200.4328301641657,194.20046584197692,199.26307678222656,29437300
2020-09-28 00:00:00-04:00,202.19713261400415,203.81755010191583,199.49323759453853,200.81642150878906,32004900
2020-09-29 00:00:00-04:00,200.73010675192674,201.4204622220947,198.29468200146903,198.7261505126953,24221900
2020-09-30 00:00:00-04:00,199.1767869931301,203.25179475383445,198.03578247925066,201.66973876953125,33829100
2020-10-01 00:00:00-04:00,204.69962505267665,205.17903771787337,202.61897584138453,203.7120361328125,27158400
2020-10-02 00:00:00-04:00,199.43565141019656,202.30254416620252,197.07693486474676,197.70018005371094,33154800
2020-10-05 00:00:00-04:00,198.68780529598595,201.74646073579936,198.45768192751362,201.7176971435547,21331600
2020-10-06 00:00:00-04:00,200.22194841840562,201.52593705627382,196.3866464091008,197.4317626953125,28554300
2020-10-07 00:00:00-04:00,198.5343725872616,201.458792800773,198.20837548293932,201.19032287597656,25681100
2020-10-08 00:00:00-04:00,201.84229903767078,202.49430781853212,199.74248402015564,201.909423828125,19925800
2020-10-09 00:00:00-04:00,202.53268078997917,206.972046978275,202.53268078997917,206.92410278320312,26458000
2020-10-12 00:00:00-04:00,209.78140069312866,214.64265244429112,207.882930516998,212.283935546875,40461400
2020-10-13 00:00:00-04:00,213.54958766520096,215.93706810447387,211.35386937390456,213.68382263183594,28950800
2020-10-14 00:00:00-04:00,213.81809086060994,214.9878591649075,210.1074407817,211.76620483398438,23421700
2020-10-15 00:00:00-04:00,208.1610097896488,211.2867754707797,207.1158789362711,210.6156005859375,22733100
2020-10-16 00:00:00-04:00,211.08541569006942,213.1373015554528,210.28960344623061,210.6156005859375,26057900
2020-10-19 00:00:00-04:00,211.34428086543105,213.14687719644527,204.92015397771777,205.39956665039062,27625800
2020-10-20 00:00:00-04:00,206.91450174044525,208.41984984684413,204.3160787516439,205.8118438720703,22753500
